2024/07/16 16:45:36 getTests.go:34:  ERROR: syntax error at or near "54354" (SQLSTATE 42601)  /test
2024/07/16 16:44:04 getTests.go:27:  failed to connect to `host=/tmp user=vladan database=`: dial error (dial unix /tmp/.s.PGSQL.5432: connect: no such file or directory)  /test
2024/07/16 16:21:25 getTests.go:33:  ERROR: syntax error at or near "754" (SQLSTATE 42601)  /test
2024/07/16 16:19:53 getTests.go:33:  ERROR: syntax error at or near "754" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:58:12 getTests.go:47:  struct doesn't have corresponding row field obrazovni_profil  /api_get_tests
2024/07/16 15:54:53 getTests.go:38:  struct doesn't have corresponding row field obrazovni_profil  /api_get_tests
2024/07/16 15:54:27 getTests.go:33:  ERROR: column "obrazovn_profil" does not exist (SQLSTATE 42703)  /api_get_tests
2024/07/16 15:41:48 getTests.go:33:  ERROR: syntax error at or near "8675876" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:28:30 getTests.go:33:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:28:19 getTests.go:33:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:27:13 getTests.go:33:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:24:34 getTests.go:33:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:24:28 getTests.go:33:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:14:20 getTests.go:39:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:08:35 getTests.go:39:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:04:46 getTests.go:37:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:02:17 getTests.go:35:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:01:10 getTests.go:36:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:00:35 getTests.go:36:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 15:00:06 getTests.go:36:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/16 14:57:32 getTests.go:43:  ERROR: syntax error at or near "888" (SQLSTATE 42601)  /api_get_tests
2024/07/15 16:46:49 getTests.go:36:  ERROR: syntax error at or near "999" (SQLSTATE 42601)  /api_get_tests
2024/07/15 16:45:22 getTests.go:36:  ERROR: syntax error at or near "999" (SQLSTATE 42601)  /api_get_tests
2024/07/15 16:41:50 getTests.go:25:  open ../../../../.env: no such file or directory  /api_get_tests
2024/07/15 14:47:07 getTests.go:28:  ERROR: syntax error at or near "444" (SQLSTATE 42601)  /api_get_tests
2024/07/15 14:42:39 getTests.go:28:  ERROR: syntax error at or near "3333" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:40:07 getTests.go:28:  ERROR: syntax error at or near "3333" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:27:24 getTests.go:28:  ERROR: syntax error at or near "3333" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:22:20 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:06:03 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:06:03 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:00:04 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:00:03 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:00:02 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 14:00:01 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:54:52 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:53:58 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:51:29 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:51:28 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:51:27 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:26 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:25 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:24 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:23 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:22 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:21 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:20 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
2024/07/15 13:49:19 getTests.go:28:  ERROR: syntax error at or near "777" (SQLSTATE 42601)  /htmx_get_tests
